song,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,81,2011,0.646,0.795,-3.293,89.99,9
Congratulations,Post Malone,81,2016,0.63,0.804,-4.183,123.146,6
Callaita,Bad Bunny,81,2019,0.61,0.624,-4.773,176.169,2
Little Dark Age,MGMT,81,2018,0.705,0.712,-6.156,97.512,6
One Kiss (with Dua Lipa),Calvin Harris,81,2018,0.791,0.862,-3.24,123.994,9
God's Plan,Drake,81,2018,0.754,0.449,-9.211,77.169,7
Umbrella,Rihanna,81,2008,0.583,0.829,-4.603,174.028,1
In Da Club,50 Cent,81,2003,0.899,0.713,-2.752,90.051,6
LOVE. FEAT. ZACARI.,Kendrick Lamar,80,2017,0.8,0.585,-7.343,126.058,10
High Hopes,Panic! At The Disco,80,2018,0.579,0.904,-2.729,82.014,5
Only Love Can Hurt Like This,Paloma Faith,80,2014,0.566,0.885,-4.528,90.99,8
Timber (feat. Ke$ha),Pitbull,80,2012,0.581,0.963,-4.087,129.992,11
EARFQUAKE,"Tyler, The Creator",80,2019,0.554,0.498,-8.866,79.635,9
Rude,MAGIC!,80,2014,0.773,0.758,-4.993,144.033,1
Sex on Fire,Kings of Leon,80,2008,0.542,0.905,-5.653,153.398,9
Stay With Me,Sam Smith,80,2014,0.418,0.42,-6.444,84.094,0
Hey Ya!,Outkast,80,2003,0.727,0.974,-2.261,79.526,4
Bad Romance,Lady Gaga,80,2009,0.696,0.921,-3.755,119.001,0
MIDDLE CHILD,J. Cole,80,2019,0.837,0.364,-11.713,123.984,8
Dynamite,Taio Cruz,80,2010,0.751,0.783,-3.724,119.975,4
TiK ToK,Kesha,80,2010,0.755,0.837,-2.718,120.028,2
Doin' Time,Lana Del Rey,80,2019,0.641,0.559,-11.132,144.982,7
I Gotta Feeling,Black Eyed Peas,80,2009,0.743,0.766,-6.375,127.96,0
Whatever It Takes,Imagine Dragons,80,2017,0.672,0.655,-5.021,134.945,10
2002,Anne-Marie,80,2018,0.697,0.683,-2.881,96.133,1
All The Stars (with SZA),Kendrick Lamar,80,2018,0.698,0.633,-4.946,96.924,8
Hold On,Chord Overstreet,80,2017,0.618,0.443,-9.681,119.949,2
Ric Flair Drip (with Metro Boomin),Offset,80,2017,0.88,0.428,-8.28,100.007,9
The Middle,Zedd,80,2018,0.753,0.657,-3.061,107.01,7
Ride,Twenty One Pilots,80,2015,0.645,0.713,-5.355,74.989,6
Needed Me,Rihanna,80,2016,0.671,0.314,-8.091,110.898,5
The Way I Are,Timbaland,80,2007,0.731,0.807,-6.492,114.759,3
Heathens,Twenty One Pilots,80,2016,0.732,0.396,-9.348,90.024,4
Natural,Imagine Dragons,80,2018,0.704,0.611,-6.112,100.0,2
Call Out My Name,The Weeknd,80,2018,0.461,0.593,-4.954,134.17,1
A Sky Full of Stars,Coldplay,80,2014,0.545,0.675,-6.474,124.97,6
Sorry,Justin Bieber,80,2015,0.654,0.76,-3.669,99.945,0
Teenagers,My Chemical Romance,80,2006,0.463,0.857,-3.063,111.647,4
Silence,Marshmello,80,2017,0.52,0.761,-3.093,141.971,4
Viva La Vida,Coldplay,80,2008,0.486,0.617,-7.115,138.015,5
Riptide,Vance Joy,80,2014,0.484,0.731,-6.694,101.654,1
All Falls Down,Kanye West,80,2004,0.657,0.734,-4.832,91.03,8
Centuries,Fall Out Boy,80,2015,0.393,0.858,-2.868,176.042,4
Better Now,Post Malone,80,2018,0.68,0.578,-5.804,145.038,10
Can't Stop,Red Hot Chili Peppers,80,2002,0.618,0.938,-3.442,91.455,9
Time of Our Lives,Pitbull,80,2014,0.721,0.802,-5.797,124.022,1
Low (feat. T-Pain),Flo Rida,80,2008,0.918,0.609,-5.64,128.008,10
The Reason,Hoobastank,79,2003,0.472,0.671,-4.649,82.952,4
Bring Me To Life,Evanescence,79,2003,0.331,0.943,-3.188,94.612,4
Party In The U.S.A.,Miley Cyrus,79,2009,0.652,0.698,-4.667,96.021,10
Gimme More,Britney Spears,79,2007,0.788,0.844,-3.131,113.324,2
On The Floor,Jennifer Lopez,79,2011,0.73,0.777,-5.194,130.0,3
How to Save a Life,The Fray,79,2005,0.64,0.743,-4.08,122.035,10
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,79,2010,0.663,0.861,-3.398,119.963,7
Candy Shop,50 Cent,79,2005,0.614,0.574,-7.961,125.173,11
Maneater,Nelly Furtado,79,2006,0.796,0.777,-4.81,132.722,6
Snow (Hey Oh),Red Hot Chili Peppers,79,2006,0.427,0.9,-3.674,104.655,11
Waiting For Love,Avicii,79,2015,0.579,0.736,-3.863,127.999,6
Love You Like A Love Song,Selena Gomez & The Scene,79,2011,0.858,0.678,-3.87,117.009,1
Tongue Tied,Grouplove,79,2011,0.56,0.936,-5.835,112.96,3
Too Good At Goodbyes,Sam Smith,79,2017,0.681,0.372,-8.237,91.873,5
Mask Off,Future,79,2017,0.833,0.434,-8.795,150.062,2
