song,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Monster,Skillet,75,2009,0.64,0.957,-2.336,134.992,8
The Monster,Eminem,75,2013,0.781,0.853,-3.68,110.049,1
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,75,2014,0.596,0.73,-4.091,85.979,9
Secreto,Anuel AA,75,2019,0.807,0.803,-4.156,91.987,11
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,75,2018,0.581,0.662,-5.239,93.023,9
Smooth Criminal,Alien Ant Farm,75,2001,0.653,0.964,-4.261,126.928,9
Work,Rihanna,75,2016,0.725,0.534,-6.238,91.974,11
Sexy Bitch (feat. Akon),David Guetta,75,2010,0.813,0.627,-5.018,130.011,11
Blame (feat. John Newman),Calvin Harris,75,2014,0.414,0.857,-4.078,128.024,0
bury a friend,Billie Eilish,75,2019,0.905,0.389,-14.505,120.046,8
Ride Wit Me,Nelly,75,2000,0.85,0.7,-6.49,101.875,7
I Don't Fuck With You,Big Sean,75,2015,0.824,0.733,-5.474,97.972,1
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,75,2016,0.502,0.786,-4.378,169.021,9
Live Your Life,T.I.,75,2008,0.375,0.862,-3.363,159.841,11
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,75,2016,0.803,0.585,-5.861,105.017,8
Marry You,Bruno Mars,75,2010,0.621,0.82,-4.865,144.905,10
Him & I (with Halsey),G-Eazy,75,2017,0.589,0.731,-6.343,87.908,2
Little Do You Know,Alex & Sierra,75,2014,0.5,0.292,-8.554,145.879,0
Dangerous,Kardinal Offishall,75,2008,0.949,0.79,-5.957,117.002,8
Mine,Bazzi,75,2018,0.71,0.789,-3.874,142.929,4
Supermassive Black Hole,Muse,75,2006,0.668,0.921,-3.727,120.0,7
Replay,Iyaz,75,2009,0.706,0.751,-6.323,91.031,9
Walk It Talk It,Migos,75,2018,0.907,0.633,-5.145,145.914,2
Cooler Than Me - Single Mix,Mike Posner,75,2010,0.768,0.82,-4.63,129.965,7
The Lazy Song,Bruno Mars,75,2010,0.794,0.711,-5.124,174.915,8
It Ain't Me (with Selena Gomez),Kygo,75,2017,0.64,0.533,-6.596,99.968,0
Dancing With A Stranger (with Normani),Sam Smith,75,2019,0.741,0.52,-7.513,102.998,8
Eastside (with Halsey & Khalid),benny blanco,75,2018,0.56,0.68,-7.648,89.391,6
In My Feelings,Drake,75,2018,0.835,0.626,-5.833,91.03,1
We Found Love,Rihanna,75,2011,0.735,0.766,-4.485,127.985,1
A Thousand Miles,Vanessa Carlton,75,2002,0.56,0.825,-3.862,94.931,11
So Sick,Ne-Yo,75,2006,0.452,0.574,-8.336,92.791,6
Black and Yellow,Wiz Khalifa,75,2011,0.684,0.834,-4.524,164.02,2
Bleeding Love,Leona Lewis,75,2007,0.638,0.656,-5.886,104.036,5
Run This Town,JAY-Z,75,2009,0.632,0.924,-1.802,86.844,1
Hot In Herre,Nelly,75,2002,0.956,0.745,-4.753,107.075,11
Diamonds,Rihanna,75,2012,0.564,0.71,-4.92,91.972,11
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,75,2017,0.696,0.817,-3.862,98.064,1
Take Care,Drake,75,2011,0.629,0.515,-10.358,121.845,0
You're Beautiful,James Blunt,75,2005,0.675,0.479,-9.87,81.998,0
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,75,2016,0.72,0.763,-4.068,101.965,9
Swang,Rae Sremmurd,75,2016,0.681,0.314,-9.319,139.992,8
Girlfriend,Avril Lavigne,75,2007,0.56,0.959,-2.433,163.983,7
Piece Of Your Heart,MEDUZA,75,2019,0.677,0.744,-6.806,124.08,10
Black Beatles,Rae Sremmurd,75,2016,0.794,0.632,-6.163,145.926,0
Uprising,Muse,75,2009,0.602,0.905,-4.046,128.019,2
Pump It,Black Eyed Peas,75,2005,0.648,0.931,-3.15,153.649,1
Like a Stone,Audioslave,75,2002,0.614,0.568,-5.477,107.849,7
Renegades,X Ambassadors,75,2015,0.526,0.862,-6.003,90.052,2
Sk8er Boi,Avril Lavigne,75,2002,0.487,0.9,-4.417,149.937,0
Pure Water (with Migos),Mustard,75,2019,0.682,0.559,-5.545,202.015,0
Impossible,James Arthur,75,2013,0.376,0.695,-4.782,169.533,0
Starships,Nicki Minaj,75,2012,0.747,0.716,-2.457,125.008,11
Love Me Harder,Ariana Grande,74,2014,0.472,0.714,-4.389,98.992,1
Apologize,Timbaland,74,2007,0.653,0.604,-6.017,118.016,8
How We Do,The Game,74,2005,0.862,0.648,-7.401,98.012,4
Face Down,The Red Jumpsuit Apparatus,74,2006,0.545,0.932,-2.189,92.956,7
She Looks So Perfect,5 Seconds of Summer,74,2014,0.494,0.951,-4.237,160.025,9
Bad Day,Daniel Powter,74,2005,0.599,0.785,-4.013,140.046,3
Hung Up,Madonna,74,2005,0.649,0.647,-7.695,125.02,9
Clint Eastwood,Gorillaz,74,2001,0.663,0.694,-8.627,167.953,10
Nothin' on You (feat. Bruno Mars),B.o.B,74,2010,0.688,0.853,-5.814,103.993,10
Whatever You Like,T.I.,74,2008,0.68,0.687,-6.162,150.053,9
Domino,Jessie J,74,2011,0.758,0.557,-4.568,126.986,7
Last Friday Night (T.G.I.F.),Katy Perry,74,2012,0.649,0.815,-3.796,126.03,3
What the Hell,Avril Lavigne,74,2011,0.578,0.926,-3.689,149.976,6
Airplanes (feat. Hayley Williams of Paramore),B.o.B,74,2010,0.66,0.867,-4.285,93.033,6
"Dance, Dance",Fall Out Boy,74,2005,0.622,0.961,-3.198,114.452,11
Headlines,Drake,74,2011,0.636,0.566,-7.16,151.894,6
International Love (feat. Chris Brown),Pitbull,74,2011,0.67,0.855,-3.035,120.05,0
Skyfall,Adele,74,2012,0.346,0.552,-6.864,75.881,0
One More Night,Maroon 5,74,2012,0.716,0.821,-3.435,92.997,5
Eenie Meenie,Sean Kingston,74,2010,0.72,0.607,-4.168,121.223,1
Rude Boy,Rihanna,74,2009,0.563,0.75,-4.496,173.906,11
Shake That,Eminem,74,2005,0.963,0.643,-5.785,107.005,1
Break Your Heart,Taio Cruz,74,2010,0.607,0.934,-4.217,122.01,3
Crank That (Soulja Boy),Soulja Boy,74,2007,0.736,0.74,-2.18,140.141,0
Crazy,Gnarls Barkley,74,2006,0.855,0.587,-4.589,111.97,8
Secrets,OneRepublic,74,2009,0.516,0.764,-6.223,148.021,2
Forever,Chris Brown,74,2008,0.672,0.82,-4.456,120.005,11
Because Of You,Ne-Yo,74,2007,0.81,0.538,-5.784,109.97,0
Latch,Disclosure,74,2013,0.503,0.727,-5.456,121.985,1
Stronger (What Doesn't Kill You),Kelly Clarkson,74,2011,0.562,0.939,-4.282,116.044,0
It Will Rain,Bruno Mars,74,2011,0.576,0.835,-6.826,150.017,2
Love Me Again,John Newman,74,2013,0.495,0.894,-4.814,126.03,2
The Kill,Thirty Seconds To Mars,74,2005,0.179,0.912,-3.881,182.99,4
Pompeii,Bastille,74,2013,0.679,0.715,-6.383,127.435,9
Circus,Britney Spears,74,2008,0.791,0.733,-5.215,114.98,6
Love Story,Taylor Swift,74,2008,0.617,0.741,-3.97,118.984,2
Dark Horse,Katy Perry,74,2013,0.647,0.585,-6.123,131.934,6
Right Round,Flo Rida,74,2009,0.72,0.672,-6.852,124.986,7
Habits (Stay High),Tove Lo,74,2014,0.733,0.65,-3.539,110.003,5
Don't Tell 'Em,Jeremih,74,2015,0.856,0.527,-5.225,98.052,2
Halo,Beyoncé,74,2008,0.508,0.72,-5.908,79.983,11
The Motto,Drake,74,2011,0.766,0.442,-8.558,201.8,1
Superheroes,The Script,74,2014,0.49,0.885,-4.121,166.996,3
Here Without You,3 Doors Down,74,2002,0.557,0.533,-6.817,143.994,10
679 (feat. Remy Boyz),Fetty Wap,74,2015,0.618,0.717,-5.738,190.05,7
Where Are Ü Now (with Justin Bieber),Jack Ü,74,2015,0.432,0.781,-4.038,139.432,4
Low Life (feat. The Weeknd),Future,74,2016,0.722,0.331,-7.789,143.961,8
"Whenever, Wherever",Shakira,74,2001,0.794,0.832,-4.862,107.657,1
My Way,Calvin Harris,74,2016,0.818,0.913,-3.06,119.986,4
Reptilia,The Strokes,74,2003,0.489,0.649,-5.11,158.009,9
Too Good,Drake,74,2016,0.794,0.653,-7.839,117.996,7
Plain Jane,A$AP Ferg,74,2017,0.797,0.844,-5.482,170.142,11
Bank Account,21 Savage,74,2017,0.884,0.347,-8.227,75.016,8
Criminal,Natti Natasha,74,2017,0.814,0.813,-3.023,79.997,2
Glorious (feat. Skylar Grey),Macklemore,74,2017,0.731,0.794,-5.126,139.994,0
X,Nicky Jam,74,2019,0.594,0.749,-5.298,179.968,9
Nevermind,Dennis Lloyd,74,2017,0.6,0.688,-8.339,99.977,5
Get Busy,Sean Paul,74,2002,0.735,0.824,-4.143,100.202,10
Finesse - Remix; feat. Cardi B,Bruno Mars,74,2017,0.704,0.859,-4.877,105.115,5
Never Be the Same,Camila Cabello,74,2018,0.637,0.713,-4.333,129.923,0
Calma - Remix,Pedro Capó,74,2018,0.826,0.773,-4.218,126.899,11
Nights Like This (feat. Ty Dolla $ign),Kehlani,74,2019,0.61,0.725,-5.131,146.163,8
Stole the Show,Kygo,74,2016,0.64,0.635,-7.565,100.034,8
Take A Bow,Rihanna,74,2008,0.697,0.467,-7.536,82.082,9
Runaway (U & I),Galantis,74,2015,0.506,0.805,-4.119,126.008,1
Bitch Better Have My Money,Rihanna,73,2015,0.781,0.728,-4.981,102.99,1
Antidote,Travis Scott,73,2015,0.713,0.526,-5.046,131.05,1
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,73,2001,0.835,0.707,-5.074,93.955,8
Touch The Sky,Kanye West,73,2005,0.552,0.846,-4.912,98.56,9
Lean On (feat. MØ & DJ Snake),Major Lazer,73,2015,0.723,0.809,-3.081,98.007,7
Say It,Tory Lanez,73,2016,0.546,0.529,-10.511,107.331,11
Can't Get You out of My Head,Kylie Minogue,73,2001,0.766,0.563,-7.516,126.007,9
Beauty And A Beat,Justin Bieber,73,2012,0.602,0.843,-4.831,128.003,0
Price Tag,Jessie J,73,2011,0.636,0.831,-3.945,175.015,5
Paralyzer,Finger Eleven,73,2007,0.644,0.939,-3.486,106.031,11
Giant (with Rag'n'Bone Man),Calvin Harris,73,2019,0.807,0.887,-4.311,122.015,1
Suga Suga,Baby Bash,73,2003,0.662,0.748,-3.041,82.331,5
I Know What You Did Last Summer,Shawn Mendes,73,2015,0.687,0.761,-4.582,113.939,9
Always On Time,Ja Rule,73,2001,0.839,0.706,-6.104,96.673,5
Roar,Katy Perry,73,2013,0.554,0.772,-4.821,179.984,7
21 Guns,Green Day,73,2009,0.268,0.742,-4.939,159.779,5
You Found Me,The Fray,73,2009,0.338,0.803,-5.412,151.994,8
By the Way,Red Hot Chili Peppers,73,2002,0.451,0.97,-4.938,122.444,0
My Band,D12,73,2004,0.851,0.849,-3.383,120.014,1
Please Me,Cardi B,73,2019,0.747,0.57,-6.711,133.992,1
Fake It,Seether,73,2007,0.611,0.95,-3.509,132.078,8
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,73,2018,0.851,0.541,-6.825,124.959,0
Mercy,Kanye West,73,2012,0.563,0.496,-9.381,139.993,6
...Ready For It?,Taylor Swift,73,2017,0.613,0.764,-6.509,160.015,2
SOS,Rihanna,73,2006,0.677,0.671,-4.905,137.046,7
Part Of Me,Katy Perry,73,2012,0.678,0.918,-4.63,130.028,5
Paris,The Chainsmokers,73,2017,0.653,0.658,-6.428,99.99,2
Cry Me a River,Justin Timberlake,73,2002,0.624,0.654,-6.582,73.898,8
BURN IT DOWN,Linkin Park,73,2012,0.585,0.972,-4.45,110.006,9
Better Off Alone,Alice Deejay,73,2000,0.671,0.88,-6.149,136.953,8
Taste (feat. Offset),Tyga,73,2018,0.884,0.559,-7.442,97.994,0
Tonight Tonight,Hot Chelle Rae,73,2011,0.686,0.783,-4.977,99.978,4
Me & U,Cassie,73,2006,0.803,0.454,-4.802,99.99,8
Look Back at It,A Boogie Wit da Hoodie,73,2018,0.791,0.587,-5.075,96.057,3
Worth It (feat. Kid Ink),Fifth Harmony,73,2015,0.884,0.765,-3.865,99.987,8
Forever,Drake,73,2009,0.457,0.906,-2.278,104.02,5
Roses,The Chainsmokers,73,2015,0.713,0.802,-7.055,100.001,4
Bleed It Out,Linkin Park,73,2007,0.529,0.967,-3.647,140.127,1
Money,Cardi B,73,2018,0.95,0.59,-6.508,130.003,8
Love Lies (with Normani),Khalid,73,2018,0.708,0.648,-5.626,143.955,6
Jesus Walks,Kanye West,73,2004,0.637,0.834,-4.686,87.312,3
Hot N*gga,Bobby Shmurda,73,2014,0.794,0.51,-7.314,167.879,9
DARE,Gorillaz,73,2005,0.76,0.891,-5.852,120.264,11
How Do You Sleep?,Sam Smith,73,2019,0.477,0.682,-4.931,110.567,1
Need You Now,Lady A,73,2010,0.581,0.717,-4.433,107.884,4
Only Girl (In The World),Rihanna,73,2010,0.789,0.716,-4.241,125.906,11
Look Alive (feat. Drake),BlocBoy JB,73,2018,0.922,0.581,-7.495,140.022,10
Rollin' (Air Raid Vehicle),Limp Bizkit,73,2000,0.603,0.933,-3.358,96.306,1
Naive,The Kooks,73,2006,0.391,0.808,-6.209,100.304,8
Let Me Blow Ya Mind,Eve,73,2001,0.908,0.557,-4.243,90.032,8
Stolen Dance,Milky Chance,73,2014,0.885,0.581,-8.813,114.016,11
Just A Dream,Nelly,73,2010,0.531,0.752,-6.161,89.917,1
Never Forget You,Zara Larsson,73,2017,0.583,0.732,-5.728,145.992,11
Remember the Name (feat. Styles of Beyond),Fort Minor,73,2005,0.688,0.835,-4.162,84.858,8
OMG (feat. will.i.am),Usher,73,2010,0.781,0.745,-5.81,129.998,4
Problem,Ariana Grande,73,2014,0.66,0.805,-5.352,103.008,1
Destination Calabria - Radio Edit,Alex Gaudino,73,2007,0.627,0.954,-4.804,128.016,2
I Kissed A Girl,Katy Perry,73,2008,0.699,0.76,-3.173,129.996,5
Party Rock Anthem,LMFAO,73,2011,0.751,0.736,-4.168,130.014,5
All Night,The Vamps,73,2017,0.538,0.804,-5.194,144.992,8
One Thing Right,Marshmello,73,2019,0.659,0.625,-2.253,88.042,4
Let Her Go,Passenger,73,2012,0.509,0.538,-7.335,75.089,7
S&M,Rihanna,73,2010,0.767,0.682,-5.02,127.975,1
This Feeling,The Chainsmokers,73,2018,0.575,0.571,-7.906,105.049,1
Like A G6,Far East Movement,73,2010,0.435,0.837,-8.126,124.913,3
Hot N Cold,Katy Perry,73,2008,0.706,0.841,-3.956,132.032,7
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,72,2017,0.671,0.672,-3.094,97.979,0
Love,Keyshia Cole,72,2005,0.688,0.519,-4.285,116.714,5
Trip,Ella Mai,72,2018,0.477,0.61,-5.628,79.882,11
In My Place,Coldplay,72,2002,0.424,0.588,-5.455,144.636,9
Bad At Love,Halsey,72,2017,0.675,0.751,-3.539,118.384,0
Gangnam Style (강남스타일),PSY,72,2012,0.727,0.937,-2.871,132.067,11
Vaina Loca,Ozuna,72,2018,0.754,0.805,-4.249,93.982,6
Jackie Chan,Tiësto,72,2018,0.747,0.834,-2.867,128.005,3
My Love (feat. T.I.),Justin Timberlake,72,2006,0.771,0.68,-5.881,119.952,11
21 Questions,50 Cent,72,2003,0.646,0.813,-3.846,92.729,6
Down On Me,Jeremih,72,2010,0.7,0.598,-7.783,160.041,2
The Greatest Show,Hugh Jackman,72,2017,0.417,0.824,-7.36,157.92,11
California Gurls,Katy Perry,72,2012,0.791,0.754,-3.729,125.014,0
Headstrong,Trapt,72,2002,0.492,0.896,-5.819,184.981,4
Bodak Yellow,Cardi B,72,2018,0.926,0.703,-6.337,125.022,11
MotorSport,Migos,72,2018,0.904,0.518,-5.32,137.996,2
Firework,Katy Perry,72,2010,0.638,0.832,-5.039,124.071,8
I Hate Everything About You,Three Days Grace,72,2003,0.498,0.83,-5.157,89.342,6
Stir Fry,Migos,72,2018,0.817,0.816,-5.402,181.982,2
When The Sun Goes Down,Arctic Monkeys,72,2006,0.348,0.875,-4.758,169.152,11
River (feat. Ed Sheeran),Eminem,72,2017,0.748,0.749,-5.916,90.09,8
Jar of Hearts,Christina Perri,72,2011,0.349,0.348,-6.142,74.541,3
Billionaire (feat. Bruno Mars),Travie McCoy,72,2010,0.633,0.673,-6.403,86.776,6
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,72,2012,0.666,0.876,-3.078,129.884,3
Take A Look Around,Limp Bizkit,72,2000,0.425,0.852,-5.607,101.968,11
Born This Way,Lady Gaga,72,2011,0.587,0.828,-5.108,123.907,11
How Long,Charlie Puth,72,2018,0.845,0.561,-5.253,109.974,1
Good Life,OneRepublic,72,2009,0.634,0.69,-7.804,94.988,6
Plug Walk,Rich The Kid,72,2018,0.876,0.519,-6.531,94.981,11
Faint,Linkin Park,72,2003,0.554,0.978,-3.554,135.095,4
Slow Jamz,Twista,72,2004,0.559,0.733,-5.659,145.115,2
Don't,Ed Sheeran,72,2014,0.806,0.608,-7.008,95.049,1
Under Control (feat. Hurts),Calvin Harris,72,2014,0.544,0.915,-3.405,126.094,8
Disco Inferno,50 Cent,72,2005,0.925,0.659,-4.763,97.018,3
Loyal (feat. Lil Wayne & Tyga),Chris Brown,72,2014,0.841,0.522,-5.963,99.059,10
Boulevard of Broken Dreams,Green Day,72,2004,0.49,0.679,-3.68,167.046,8
"Hold On, We're Going Home",Drake,72,2013,0.773,0.414,-7.436,99.993,6
Call on Me - Radio Mix,Eric Prydz,72,2004,0.597,0.837,-6.518,126.342,10
Adan y Eva,Paulo Londra,72,2019,0.767,0.709,-4.47,171.993,1
Misery Business,Paramore,72,2007,0.517,0.906,-3.677,172.977,1
Wherever You Will Go,The Calling,72,2001,0.558,0.719,-5.113,112.027,2
When I Grow Up,The Pussycat Dolls,72,2008,0.671,0.685,-5.762,118.449,11
Let Me Love You,Mario,72,2004,0.656,0.578,-8.97,94.514,7
All About That Bass,Meghan Trainor,72,2015,0.807,0.887,-3.726,134.052,9
My Love (feat. Jess Glynne),Route 94,72,2014,0.814,0.622,-7.573,119.976,8
Don't Cha,The Pussycat Dolls,72,2005,0.875,0.631,-3.475,120.003,1
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,72,2018,0.778,0.566,-6.959,117.971,2
Suge,DaBaby,72,2019,0.876,0.662,-6.482,75.445,2
Rather Be (feat. Jess Glynne),Clean Bandit,72,2014,0.799,0.586,-6.735,120.97,11
Meet Me Halfway,Black Eyed Peas,72,2009,0.798,0.629,-6.857,130.0,11
My Immortal,Evanescence,72,2003,0.19,0.265,-9.206,79.012,9
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,72,2013,0.572,0.81,-5.791,126.052,1
Day 'N' Nite (Nightmare),Kid Cudi,72,2009,0.88,0.443,-6.359,138.018,11
Ready or Not,Bridgit Mendler,72,2012,0.715,0.872,-3.835,93.043,2
The One That Got Away,Katy Perry,72,2012,0.687,0.792,-4.023,133.962,1
Bad and Boujee (feat. Lil Uzi Vert),Migos,72,2017,0.926,0.666,-5.314,127.079,11
La Tortura (feat. Alejandro Sanz),Shakira,72,2005,0.74,0.783,-5.367,100.011,0
Tuesday (feat. Danelle Sandoval),Burak Yeter,72,2016,0.841,0.639,-6.052,99.002,9
Do It Again,Pia Mia,72,2015,0.712,0.564,-6.527,95.95,8
emotions,iann dior,72,2019,0.63,0.63,-6.211,80.512,9
Jumpman,Drake,72,2015,0.852,0.553,-7.286,142.079,1
Alone,Marshmello,71,2016,0.631,0.953,-3.739,141.99,2
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,71,2011,0.767,0.677,-6.128,146.155,11
We R Who We R,Kesha,71,2010,0.736,0.817,-4.9,119.95,8
Sweet Nothing (feat. Florence Welch),Calvin Harris,71,2012,0.573,0.929,-3.942,127.934,8
Only Human,Jonas Brothers,71,2019,0.795,0.496,-5.883,94.01,0
Love in This Club (feat. Young Jeezy),Usher,71,2008,0.573,0.712,-5.976,140.012,0
I Need A Doctor,Dr. Dre,71,2011,0.594,0.946,-4.521,155.826,3
SOS (feat. Aloe Blacc),Avicii,71,2019,0.802,0.645,-6.181,100.001,5
03' Bonnie & Clyde,JAY-Z,71,2002,0.759,0.678,-5.148,89.64,9
Let's Fall in Love for the Night,FINNEAS,71,2018,0.737,0.408,-7.941,127.921,5
Otro Trago,Sech,71,2019,0.746,0.7,-4.669,176.044,0
2 On (feat. ScHoolboy Q),Tinashe,71,2014,0.742,0.595,-7.51,101.013,9
Who's That Chick? (feat. Rihanna),David Guetta,71,2010,0.675,0.602,-4.733,127.938,11
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,71,2011,0.595,0.912,-3.428,128.024,10
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,71,2009,0.753,0.931,-4.922,113.029,2
Empire State of Mind (Part II) Broken Down,Alicia Keys,71,2009,0.484,0.368,-7.784,92.923,6
Motivation,Normani,71,2019,0.599,0.887,-3.967,170.918,4
Sunset Lover,Petit Biscuit,71,2015,0.783,0.467,-9.474,90.838,6
Please Don't Go,Joel Adams,71,2015,0.513,0.768,-4.868,84.264,4
Hit 'Em Up Style (Oops!),Blu Cantrell,71,2001,0.667,0.773,-4.983,89.976,5
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,71,2018,0.645,0.705,-5.008,137.133,1
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,71,2013,0.581,0.0549,-20.514,152.037,10
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,71,2013,0.558,0.924,-4.341,151.99,9
Rehab,Amy Winehouse,71,2006,0.407,0.558,-13.609,71.815,0
Ridin',Chamillionaire,71,2005,0.787,0.799,-4.68,143.052,8
It's A Vibe,2 Chainz,71,2017,0.822,0.502,-7.38,73.003,7
Bounce Back,Big Sean,71,2017,0.78,0.575,-5.628,81.502,1
Sing For The Moment,Eminem,71,2002,0.668,0.824,-4.164,163.961,5
My Type,Saweetie,71,2019,0.899,0.811,-6.294,105.038,2
Cleanin' Out My Closet,Eminem,71,2002,0.908,0.758,-4.753,148.015,9
Spotlight,Marshmello,71,2018,0.546,0.822,-4.483,150.06,7
Since U Been Gone,Kelly Clarkson,71,2004,0.662,0.739,-5.354,130.999,9
Dura,Daddy Yankee,71,2018,0.783,0.84,-3.416,95.001,1
Ayo,Chris Brown,71,2015,0.823,0.563,-5.095,98.031,6
Spirits,The Strumbellas,71,2016,0.556,0.658,-6.075,80.529,0
Where Have You Been,Rihanna,71,2011,0.719,0.847,-6.34,127.963,0
Suddenly I See,KT Tunstall,71,2005,0.587,0.767,-5.713,100.38,0
Solo (feat. Demi Lovato),Clean Bandit,71,2018,0.737,0.636,-4.546,105.005,11
The Sweet Escape,Gwen Stefani,71,2006,0.756,0.77,-3.502,119.961,1
Cool Kids,Echosmith,71,2013,0.719,0.671,-6.279,130.027,8
True Love (feat. Lily Allen),P!nk,71,2012,0.457,0.823,-4.76,192.205,9
Run It! (feat. Juelz Santana),Chris Brown,71,2005,0.846,0.482,-6.721,100.969,1
One Time,Justin Bieber,71,2009,0.691,0.853,-2.528,145.999,1
Miss Independent,Ne-Yo,71,2008,0.668,0.673,-5.714,171.812,1
I Bet You Look Good On The Dancefloor,Arctic Monkeys,71,2006,0.535,0.948,-4.19,103.183,6
Bulletproof,La Roux,71,2009,0.674,0.882,-2.771,123.016,3
Because of You,Kelly Clarkson,71,2004,0.587,0.583,-5.284,139.92,5
No Type,Rae Sremmurd,71,2015,0.891,0.486,-7.803,125.01,6
Fire Burning,Sean Kingston,71,2009,0.839,0.804,-2.513,122.973,1
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,71,2017,0.653,0.718,-5.232,82.034,3
Give Your Heart a Break,Demi Lovato,71,2011,0.651,0.695,-3.218,123.008,6
Panini,Lil Nas X,71,2019,0.703,0.594,-6.146,153.848,5
Breezeblocks,alt-J,71,2012,0.616,0.656,-7.298,150.071,5
BedRock,Young Money,71,2009,0.733,0.664,-6.163,148.005,8
With You,Chris Brown,70,2007,0.662,0.693,-4.298,86.009,3
Paparazzi,Lady Gaga,70,2008,0.762,0.692,-3.973,114.906,5
She Hates Me,Puddle Of Mudd,70,2001,0.58,0.748,-5.433,109.781,4
Freaky Friday (feat. Chris Brown),Lil Dicky,70,2018,0.755,0.599,-5.042,133.123,8
Beggin (original version),Madcon,70,2007,0.715,0.8,-5.144,129.023,4
Bad Blood,Taylor Swift,70,2015,0.654,0.655,-7.388,170.16,11
Foolish,Ashanti,70,2002,0.665,0.695,-5.763,90.119,0
Broken Strings,James Morrison,70,2008,0.57,0.717,-4.914,111.91,1
Better,Khalid,70,2018,0.442,0.585,-10.332,97.565,0
Soltera - Remix,Lunay,70,2019,0.795,0.783,-4.271,92.01,5
Whatcha Say,Jason Derulo,70,2010,0.615,0.711,-5.507,144.036,11
DONTTRUSTME,3OH!3,70,2008,0.791,0.713,-3.742,130.012,5
Crack A Bottle,Eminem,70,2009,0.516,0.874,-2.571,169.561,9
Work It,Missy Elliott,70,2002,0.884,0.677,-5.603,101.868,1
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,70,2019,0.842,0.801,-4.167,95.881,8
You,Lloyd,70,2007,0.412,0.876,-6.008,130.159,5
Give It To Me,Timbaland,70,2007,0.975,0.711,-3.904,110.621,8
Without You (feat. Usher),David Guetta,70,2012,0.608,0.614,-3.727,127.884,2
Elastic Heart,Sia,70,2014,0.421,0.791,-4.998,130.075,9
Unfaithful,Rihanna,70,2006,0.588,0.391,-8.607,144.069,0
A Thousand Years,Christina Perri,70,2011,0.421,0.407,-7.445,139.028,10
She Doesn't Mind,Sean Paul,70,2012,0.718,0.776,-5.208,120.015,7
Bangarang (feat. Sirah),Skrillex,70,2011,0.716,0.972,-2.302,110.026,7
Behind Blue Eyes,Limp Bizkit,70,2003,0.595,0.489,-6.66,120.315,7
7 Days,Craig David,70,2000,0.659,0.812,-7.499,83.014,4
Irreplaceable,Beyoncé,70,2007,0.447,0.694,-4.637,175.868,7
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,70,2017,0.688,0.822,-3.304,91.011,0
Shape of My Heart,Backstreet Boys,70,2000,0.575,0.786,-4.353,96.102,9
I'm with You,Avril Lavigne,70,2002,0.457,0.406,-7.462,151.95,9
Survivor,Destiny's Child,70,2001,0.514,0.911,-2.027,161.109,1
The Ocean (feat. Shy Martin),Mike Perry,70,2016,0.632,0.575,-6.478,90.037,5
Burn,Ellie Goulding,70,2014,0.559,0.777,-5.031,87.016,1
I Need Your Love (feat. Ellie Goulding),Calvin Harris,70,2012,0.695,0.869,-5.066,124.989,8
All Time Low,Jon Bellion,70,2016,0.617,0.567,-4.188,90.246,0
Wherever I Go,OneRepublic,70,2016,0.552,0.689,-6.444,99.961,10
Panda,Desiigner,70,2016,0.576,0.766,-4.943,144.833,10
La Camisa Negra,Juanes,70,2004,0.751,0.731,-4.419,97.007,6
Turn Down for What,DJ Snake,70,2013,0.818,0.799,-4.1,100.014,1
Lips Are Movin,Meghan Trainor,70,2015,0.775,0.825,-5.402,139.091,7
The Show Goes On,Lupe Fiasco,70,2011,0.591,0.889,-3.839,143.067,7
It Girl,Jason Derulo,70,2011,0.668,0.718,-4.736,91.993,1
Leave a Light On,Tom Walker,70,2017,0.586,0.624,-5.946,68.976,5
